Year,Country,Region,Crop_Type,Average_Temperature_C,Total_Precipitation_mm,CO2_Emissions_MT,Crop_Yield_MT_per_HA,Extreme_Weather_Events,Irrigation_Access_%,Pesticide_Use_KG_per_HA,Fertilizer_Use_KG_per_HA,Soil_Health_Index,Adaptation_Strategies,Economic_Impact_Million_USD
2016,Russia,Volga,Sugarcane,-3.19,2964.71,16.59,1.359,1,21.08,38.4,36.49,52.47,No Adaptation,358.93
2002,India,Tamil Nadu,Sugarcane,1.83,2087.3,4.4,1.27,2,14.85,20.13,58.12,40.68,Organic Farming,604.9
2015,Nigeria,South East,Sugarcane,0.1,2809.9,10.71,1.62,4,35.19,9.49,80.95,40.65,Water Management,788.17
1994,USA,South,Sugarcane,20.56,1818.2,19.92,3.285,5,98.87,36.34,55.29,93.5,Organic Farming,1594.82
1993,Australia,New South Wales,Sugarcane,18.63,1441.54,17.82,2.4120000000000004,3,65.38,12.44,42.76,37.06,Drought-resistant Crops,687.35
2022,Nigeria,North Central,Sugarcane,-2.56,903.36,23.15,1.998,9,51.75,26.19,94.27,70.8,Water Management,459.17
2022,Argentina,Northeast,Sugarcane,18.59,1906.29,28.84,2.439,10,54.94,39.57,86.5,85.48,Drought-resistant Crops,433.35
2023,Canada,British Columbia,Sugarcane,-3.26,2788.3,29.68,1.413,8,92.41,41.68,92.39,39.29,Drought-resistant Crops,697.69
2024,Australia,Queensland,Sugarcane,9.66,2478.74,22.06,1.359,3,59.56,44.73,37.52,64.65,No Adaptation,573.38
2012,Argentina,Northeast,Sugarcane,32.41,2974.26,7.78,2.17,2,40.43,20.36,31.33,39.81,Drought-resistant Crops,299.37
2017,China,Central,Sugarcane,34.73,2479.24,14.11,1.86,3,76.44,44.64,41.36,91.64,No Adaptation,508.85
1999,Brazil,North,Sugarcane,22.13,1616.69,13.68,2.08,6,52.24,28.89,87.95,89.48,No Adaptation,638.62
2021,Nigeria,North Central,Sugarcane,-0.02,549.75,27.14,2.466,6,26.93,20.29,74.67,98.4,No Adaptation,258.61
2023,Russia,Siberian,Sugarcane,23.83,2295.96,12.76,3.36,9,89.27,39.57,97.79,38.63,Drought-resistant Crops,650.62
2008,Russia,Volga,Sugarcane,26.98,768.36,4.89,3.64,2,25.91,41.14,30.02,92.13,Crop Rotation,889.11
2019,India,West Bengal,Sugarcane,13.24,2983.14,23.58,2.9610000000000003,1,93.36,4.88,60.67,91.45,Water Management,1448.46
2013,Nigeria,North Central,Sugarcane,34.09,2908.8,4.41,1.66,0,19.61,42.86,52.77,48.04,Crop Rotation,228.03
1999,France,Ile-de-France,Sugarcane,-3.41,2028.97,23.26,0.765,5,33.7,19.14,88.31,87.3,Water Management,382.37
2015,Nigeria,North West,Sugarcane,32.98,1782.33,8.8,2.87,3,11.24,43.2,35.52,75.63,Organic Farming,714.96
1999,USA,West,Sugarcane,12.17,203.03,14.62,2.628,3,69.84,29.99,13.63,31.39,Organic Farming,449.02
2004,India,West Bengal,Sugarcane,-2.11,2745.97,10.43,1.98,5,40.63,1.52,40.27,76.29,Water Management,595.18
2023,Nigeria,North Central,Sugarcane,9.18,2062.68,15.68,1.935,7,60.68,20.76,79.04,53.89,Drought-resistant Crops,860.38
2023,Nigeria,North West,Sugarcane,3.91,965.32,13.98,2.36,4,50.6,13.55,65.26,41.38,Organic Farming,438.33
2004,France,Grand Est,Sugarcane,5.06,1865.09,17.0,0.7200000000000001,1,20.65,47.95,5.82,96.53,Water Management,280.09
1994,China,North,Sugarcane,28.24,2895.34,29.33,0.8280000000000001,9,43.11,28.47,87.84,40.7,Water Management,242.26
2019,China,North,Sugarcane,34.13,1729.95,2.73,0.95,9,94.11,36.92,98.11,97.12,Organic Farming,158.91
2023,USA,West,Sugarcane,11.75,1210.69,15.79,1.656,5,12.21,47.91,6.94,55.92,Water Management,604.84
2013,Russia,Siberian,Sugarcane,34.59,2021.05,0.78,3.66,5,51.9,47.24,98.74,46.04,Crop Rotation,1606.09
2021,Canada,British Columbia,Sugarcane,0.15,2487.25,6.33,1.19,6,54.52,0.62,41.09,39.29,Water Management,554.87
2006,Russia,Central,Sugarcane,0.15,2766.72,1.07,2.28,5,53.3,8.61,73.25,79.92,Organic Farming,698.78
2018,Argentina,Patagonia,Sugarcane,4.58,1737.31,12.93,1.42,10,89.86,39.49,14.51,97.35,Drought-resistant Crops,499.49
2009,Canada,Quebec,Sugarcane,10.32,245.22,8.65,1.908,5,66.38,17.71,0.47,57.28,Drought-resistant Crops,609.24
1996,China,Central,Sugarcane,16.82,2653.64,3.56,3.99,4,76.43,42.95,16.87,54.13,Drought-resistant Crops,1280.26
1997,Nigeria,North West,Sugarcane,9.38,2644.55,21.37,1.08,8,86.61,18.8,9.56,84.82,Drought-resistant Crops,512.12
2008,Brazil,Southeast,Sugarcane,15.79,1074.04,4.67,2.18,2,45.25,9.52,84.57,46.78,Drought-resistant Crops,659.97
1993,France,Nouvelle-Aquitaine,Sugarcane,0.89,2850.98,17.74,1.746,4,55.52,19.64,58.09,94.06,Drought-resistant Crops,567.35
2021,USA,Midwest,Sugarcane,16.29,1457.66,22.35,3.33,1,44.63,0.42,44.46,76.53,Water Management,1436.71
2016,Brazil,Northeast,Sugarcane,24.78,881.98,28.33,1.827,10,17.8,6.88,18.02,77.17,No Adaptation,296.02
2006,India,West Bengal,Sugarcane,13.16,517.64,0.99,3.66,3,40.71,42.69,85.93,95.3,Organic Farming,1490.33
2015,Brazil,Northeast,Sugarcane,-0.48,2252.9,11.71,1.95,8,40.74,1.28,36.71,39.42,No Adaptation,624.18
2007,Canada,Ontario,Sugarcane,27.13,1755.68,23.91,2.646,5,64.31,2.72,37.82,81.99,Crop Rotation,935.65
2023,Argentina,Patagonia,Sugarcane,29.35,2098.56,9.61,2.42,9,22.13,23.49,60.7,45.43,Crop Rotation,548.01
2012,Australia,Western Australia,Sugarcane,6.96,1299.2,20.87,1.602,0,52.74,37.28,30.05,57.93,Drought-resistant Crops,515.21
2021,Canada,Prairies,Sugarcane,21.25,932.86,2.39,2.51,9,85.92,41.74,70.55,62.06,Crop Rotation,448.42
2022,France,Ile-de-France,Sugarcane,5.23,2951.42,7.76,2.78,3,18.44,5.82,25.66,71.03,Water Management,445.02
1995,Russia,Siberian,Sugarcane,-1.02,2600.43,9.53,0.72,4,52.96,45.25,62.75,52.25,Organic Farming,214.89
2000,Brazil,North,Sugarcane,15.79,763.6,0.86,2.25,3,54.14,23.99,96.36,66.56,Drought-resistant Crops,314.84
1992,Nigeria,North Central,Sugarcane,31.62,864.16,18.41,2.943,2,69.6,32.2,64.44,54.36,No Adaptation,603.87
2019,Argentina,Northeast,Sugarcane,-3.7,1876.74,8.8,0.63,0,13.59,23.09,89.61,94.64,Organic Farming,209.25
2016,France,Grand Est,Sugarcane,4.93,1909.01,13.71,0.9,2,45.15,20.46,75.12,97.04,No Adaptation,225.57
2010,Nigeria,South West,Sugarcane,7.63,747.15,0.73,1.0,10,11.55,25.61,65.03,81.61,No Adaptation,398.43
2008,China,North,Sugarcane,17.76,2470.61,27.28,4.221,6,12.18,26.73,85.59,83.43,Crop Rotation,754.49
1992,Russia,Northwestern,Sugarcane,5.89,562.04,25.76,1.26,9,93.8,24.08,98.22,86.99,No Adaptation,455.06
2008,Argentina,Pampas,Sugarcane,11.26,749.57,13.69,3.35,1,27.19,14.2,2.5,51.86,Crop Rotation,667.3
2008,Argentina,Patagonia,Sugarcane,9.22,910.29,3.66,2.25,1,66.15,40.35,24.78,68.03,Crop Rotation,539.19
1994,China,East,Sugarcane,-4.98,360.35,14.96,1.998,1,21.27,22.32,97.41,49.47,Water Management,556.79
2003,Nigeria,North West,Sugarcane,1.06,1335.07,24.12,1.62,10,83.57,37.0,15.22,96.73,Crop Rotation,325.04
2023,France,Nouvelle-Aquitaine,Sugarcane,14.86,1425.42,9.09,4.5,9,90.0,47.74,25.51,88.53,Crop Rotation,784.82
2005,Argentina,Northeast,Sugarcane,17.89,1375.0,12.26,4.65,8,11.57,42.16,88.44,90.01,No Adaptation,1118.74
1996,Argentina,Northeast,Sugarcane,31.7,1472.42,26.82,2.124,1,85.21,48.16,18.51,53.7,Water Management,826.16
2010,Argentina,Patagonia,Sugarcane,18.6,1617.88,25.22,2.403,7,36.98,30.45,44.8,81.75,Water Management,255.41
2000,Canada,Ontario,Sugarcane,28.47,1858.9,7.9,3.14,1,41.01,14.67,32.65,97.22,No Adaptation,1149.75
1990,India,West Bengal,Sugarcane,7.86,2139.98,6.07,2.26,0,29.71,12.22,6.32,95.16,Organic Farming,350.06
2001,Russia,Northwestern,Sugarcane,11.92,1331.47,22.48,3.933,2,48.58,37.98,0.65,83.39,Water Management,1238.45
2020,Nigeria,North West,Sugarcane,-0.06,508.71,26.42,2.7,9,32.45,23.85,24.34,37.47,Water Management,1159.37
2000,China,South,Sugarcane,34.01,946.98,28.49,2.259,8,26.12,36.35,92.62,58.43,Organic Farming,745.47
2003,Canada,Prairies,Sugarcane,31.89,1736.43,23.97,3.456,1,80.05,5.69,89.43,94.84,No Adaptation,1188.39
2007,Canada,British Columbia,Sugarcane,26.67,1069.96,20.76,2.511,0,44.07,7.63,88.92,41.74,Crop Rotation,761.56
2009,Nigeria,South West,Sugarcane,27.16,1873.6,21.33,2.907,1,41.78,47.64,71.09,83.17,No Adaptation,356.73
1993,Brazil,Southeast,Sugarcane,23.44,1505.05,5.27,3.05,1,22.76,12.06,48.15,58.43,Drought-resistant Crops,604.45
1991,Australia,Queensland,Sugarcane,15.11,524.38,10.37,2.15,1,36.11,9.2,17.03,92.29,Organic Farming,1035.66
2005,France,Ile-de-France,Sugarcane,0.75,2714.94,3.71,1.12,4,87.73,36.42,97.18,76.67,Water Management,119.92
2013,Russia,Siberian,Sugarcane,-4.97,213.17,25.42,0.6930000000000001,9,77.26,48.63,53.19,90.59,No Adaptation,219.85
2012,USA,West,Sugarcane,13.0,2710.72,16.16,2.457,10,42.37,30.43,70.11,71.58,Organic Farming,327.33
1993,Canada,Prairies,Sugarcane,28.37,2349.11,0.59,3.37,7,14.36,46.75,86.45,73.58,Water Management,1358.48
2008,Australia,New South Wales,Sugarcane,-4.36,786.79,15.41,2.07,1,59.05,22.84,20.55,51.59,Water Management,922.88
2010,India,Tamil Nadu,Sugarcane,10.75,2076.7,27.29,2.232,1,10.9,29.96,38.94,52.07,No Adaptation,741.66
2021,India,Maharashtra,Sugarcane,21.56,695.52,7.32,3.99,3,47.44,34.72,97.13,42.63,Water Management,498.34
1992,Nigeria,North West,Sugarcane,13.02,2067.98,20.26,2.871,8,63.9,34.27,20.66,53.07,Crop Rotation,462.61
2013,China,South,Sugarcane,15.35,1738.17,18.99,1.557,8,40.82,29.34,34.56,72.76,No Adaptation,184.61
1998,USA,West,Sugarcane,17.59,640.55,26.79,3.888,3,97.3,10.87,15.09,73.48,Crop Rotation,772.22
2015,India,Tamil Nadu,Sugarcane,34.87,2553.85,4.56,3.78,2,11.97,10.21,22.86,58.03,Drought-resistant Crops,1410.49
2016,Canada,Prairies,Sugarcane,15.81,2120.61,28.4,1.431,1,14.91,40.68,36.57,46.74,No Adaptation,266.88
2012,India,Tamil Nadu,Sugarcane,27.79,218.65,4.9,1.2060000000000002,3,30.38,37.83,15.93,40.93,Crop Rotation,573.3
2019,Nigeria,North Central,Sugarcane,29.77,2127.32,22.27,2.781,9,49.33,14.65,44.68,60.55,Crop Rotation,1159.13
1990,Australia,New South Wales,Sugarcane,26.65,1047.96,23.75,3.177,2,81.07,11.45,29.88,85.93,Drought-resistant Crops,1517.92
1993,India,West Bengal,Sugarcane,8.31,1053.67,17.43,2.124,3,30.52,2.0,3.01,72.59,No Adaptation,697.43
2021,Russia,Northwestern,Sugarcane,0.53,2737.89,21.25,1.179,4,28.8,46.91,87.58,38.06,Organic Farming,123.18
2007,Australia,Victoria,Sugarcane,0.41,2687.5,14.22,0.64,0,29.75,32.75,80.77,62.92,Organic Farming,271.54
2012,Argentina,Northeast,Sugarcane,13.01,1820.53,9.84,3.04,4,51.18,31.03,84.88,55.55,Crop Rotation,1294.84
2016,Brazil,North,Sugarcane,13.2,1582.88,23.73,3.4650000000000003,8,86.71,47.19,95.75,39.36,Organic Farming,1324.25
2018,Argentina,Pampas,Sugarcane,6.65,2781.85,5.94,1.85,0,60.84,44.85,83.96,89.89,Crop Rotation,417.63
2021,France,Grand Est,Sugarcane,-1.58,1851.95,8.46,1.95,6,33.77,19.75,58.3,83.73,Water Management,482.31
2024,USA,Northeast,Sugarcane,6.61,292.22,7.87,2.106,9,82.15,7.17,33.16,58.5,Drought-resistant Crops,509.04
2010,Nigeria,South West,Sugarcane,10.03,1365.06,16.17,3.951,10,14.92,34.45,20.57,78.09,Crop Rotation,1423.35
1994,Nigeria,North West,Sugarcane,15.78,2678.44,2.54,1.86,0,23.5,4.26,84.26,86.37,Water Management,782.52
2022,Canada,Ontario,Sugarcane,14.11,2122.94,13.23,2.15,6,16.21,49.29,45.19,83.14,Water Management,914.36
2008,Russia,Volga,Sugarcane,2.88,2245.28,5.97,0.61,10,83.08,16.73,66.54,73.34,Water Management,112.94
2010,USA,South,Sugarcane,4.1,2936.51,15.17,0.891,9,72.64,12.69,82.27,37.89,No Adaptation,301.91
2012,China,East,Sugarcane,18.29,253.89,17.71,2.4480000000000004,9,52.44,32.58,46.0,53.51,Organic Farming,753.73
2009,France,Nouvelle-Aquitaine,Sugarcane,-1.97,2244.58,15.6,1.818,0,56.56,18.28,36.04,83.06,Drought-resistant Crops,701.84
2003,China,North,Sugarcane,4.7,2980.43,6.28,2.29,10,53.0,39.97,13.72,39.68,No Adaptation,999.94
1991,Nigeria,North West,Sugarcane,15.87,1976.64,25.25,2.232,4,18.31,46.87,26.4,80.38,Crop Rotation,573.14
2007,India,Maharashtra,Sugarcane,13.56,362.03,24.77,1.62,5,74.86,27.1,91.31,62.42,Drought-resistant Crops,512.53
1996,Russia,Siberian,Sugarcane,1.98,1815.77,24.46,0.648,2,48.44,26.56,81.84,67.94,Crop Rotation,266.38
2023,Nigeria,North West,Sugarcane,30.36,1542.6,24.39,2.826,4,98.53,2.91,91.82,72.78,Drought-resistant Crops,925.14
2002,India,Punjab,Sugarcane,9.7,931.16,1.72,1.05,2,36.09,19.16,71.71,50.14,Water Management,413.42
2019,Russia,Central,Sugarcane,33.11,1797.2,0.61,1.75,4,68.58,28.98,67.14,33.4,No Adaptation,828.05
2017,Russia,Northwestern,Sugarcane,23.6,1098.04,22.19,3.528,3,31.33,7.69,75.82,61.46,No Adaptation,961.14
2019,Brazil,Southeast,Sugarcane,31.46,2597.47,1.67,3.32,9,89.24,2.93,26.85,40.66,Drought-resistant Crops,1435.37
1996,Australia,Victoria,Sugarcane,-4.47,2496.18,15.58,2.538,10,70.05,34.51,11.89,32.1,No Adaptation,662.27
2005,France,Provence-Alpes-Cote d’Azur,Sugarcane,28.39,1851.55,22.08,3.357,1,77.84,1.31,25.9,39.89,Organic Farming,423.3
2011,USA,Northeast,Sugarcane,4.94,1564.9,11.17,1.18,5,51.78,0.64,60.98,46.99,Organic Farming,551.91
1995,Australia,New South Wales,Sugarcane,26.09,2155.85,7.34,3.59,3,26.54,36.21,80.3,68.21,Water Management,515.71
2004,Brazil,Northeast,Sugarcane,-2.98,2184.12,9.86,1.84,3,86.39,11.06,90.36,77.45,Water Management,556.97
2022,Brazil,Southeast,Sugarcane,8.21,2373.23,16.33,2.007,7,47.73,41.55,64.46,80.4,Water Management,461.04
2002,Nigeria,South West,Sugarcane,2.65,903.44,25.47,1.215,5,43.28,19.54,81.41,85.86,Drought-resistant Crops,391.73
2006,Brazil,South,Sugarcane,11.15,1076.61,10.11,1.58,7,25.12,30.39,63.56,87.49,Crop Rotation,785.0
2000,Canada,British Columbia,Sugarcane,13.52,1500.95,5.34,1.91,6,25.87,31.2,28.76,90.26,Crop Rotation,649.78
2006,Canada,British Columbia,Sugarcane,0.66,2977.2,27.0,1.386,3,78.8,8.23,77.57,58.65,Drought-resistant Crops,424.53
2016,USA,Northeast,Sugarcane,9.42,1291.25,14.94,0.68,3,87.9,42.54,29.18,36.27,Drought-resistant Crops,290.14
2012,USA,West,Sugarcane,32.8,1354.74,16.12,1.989,1,72.91,38.66,74.1,45.28,Water Management,390.83
1992,France,Nouvelle-Aquitaine,Sugarcane,34.35,2805.46,5.52,2.2,4,16.26,13.96,97.42,96.81,Drought-resistant Crops,232.22
2011,Brazil,Northeast,Sugarcane,15.4,646.39,2.66,2.59,7,37.08,18.33,96.75,97.09,Organic Farming,863.47
2019,Argentina,Pampas,Sugarcane,13.98,1496.21,20.7,1.467,9,75.6,44.15,95.57,79.88,Organic Farming,424.66
2021,Brazil,Northeast,Sugarcane,-1.23,752.1,27.97,1.062,8,11.68,42.97,26.8,49.13,Water Management,205.38
1990,India,Tamil Nadu,Sugarcane,9.34,2521.02,7.51,2.71,4,97.47,10.49,17.08,63.06,Drought-resistant Crops,1016.12
2006,Brazil,Northeast,Sugarcane,19.08,2667.53,0.82,3.45,8,37.44,39.42,86.98,88.69,Crop Rotation,1456.99
2013,Australia,Victoria,Sugarcane,4.4,1376.44,26.54,1.548,2,58.78,48.66,11.95,44.55,Crop Rotation,498.33
1991,China,North,Sugarcane,6.48,2810.36,12.68,1.72,7,22.01,33.32,1.69,49.17,Drought-resistant Crops,461.86
2013,India,Punjab,Sugarcane,34.69,2793.03,25.97,3.528,9,52.8,31.78,90.37,85.08,Organic Farming,1064.4
2001,Argentina,Northwest,Sugarcane,20.0,2710.76,14.8,1.2,6,24.91,30.9,56.14,61.56,No Adaptation,546.37
2019,Canada,Prairies,Sugarcane,2.2,224.06,2.74,0.846,1,45.06,31.02,73.08,37.46,Water Management,216.43
1998,Russia,Volga,Sugarcane,10.18,739.8,3.88,2.8,7,32.6,13.37,77.41,44.11,Water Management,329.97
1991,India,Tamil Nadu,Sugarcane,33.54,581.95,28.28,1.134,5,38.25,30.95,38.33,79.09,No Adaptation,118.33
2014,Argentina,Pampas,Sugarcane,27.6,2406.45,23.5,1.1700000000000002,8,37.54,49.78,13.91,81.81,Organic Farming,224.13
1996,France,Grand Est,Sugarcane,-4.41,1542.58,2.82,1.2,0,87.58,35.08,63.06,86.04,Drought-resistant Crops,219.16
2024,Australia,New South Wales,Sugarcane,2.42,2929.42,2.25,0.88,6,76.52,40.6,76.74,86.65,Organic Farming,105.0
2000,Argentina,Pampas,Sugarcane,2.11,1695.44,4.83,1.4,7,66.92,33.25,98.0,67.83,Organic Farming,320.18
2014,Nigeria,North West,Sugarcane,-0.34,1028.61,4.8,2.23,3,32.67,48.32,17.67,59.15,Crop Rotation,818.6
1997,Canada,Ontario,Sugarcane,7.99,2522.81,9.04,1.36,3,37.48,6.54,72.15,30.46,Drought-resistant Crops,607.94
2012,India,Maharashtra,Sugarcane,0.16,2043.05,12.28,2.17,8,20.63,11.78,84.4,30.64,No Adaptation,865.02
2009,Argentina,Northwest,Sugarcane,3.71,1456.64,9.21,1.93,4,20.3,37.87,19.66,53.82,No Adaptation,427.21
2008,Brazil,South,Sugarcane,17.38,1774.12,14.54,1.88,1,83.55,12.17,53.63,68.65,Drought-resistant Crops,562.92
2012,India,Punjab,Sugarcane,19.66,2425.38,5.08,2.52,3,18.39,25.04,57.97,88.5,Water Management,739.54
1997,Nigeria,South West,Sugarcane,25.71,2588.29,11.48,3.0,6,27.96,45.7,26.13,63.03,Crop Rotation,1388.65
2022,India,Tamil Nadu,Sugarcane,13.18,2250.7,11.26,4.74,5,78.64,39.29,98.91,85.41,Crop Rotation,1956.87
2012,China,North,Sugarcane,28.17,2103.48,28.51,1.476,4,57.75,41.62,24.63,36.15,Drought-resistant Crops,466.62
1997,France,Grand Est,Sugarcane,-3.02,1122.73,12.07,2.44,0,67.9,8.5,25.33,63.18,Water Management,267.17
2009,Nigeria,South East,Sugarcane,33.74,2945.45,26.22,1.521,5,97.9,9.83,32.51,66.14,No Adaptation,198.36
2001,Argentina,Northwest,Sugarcane,-4.45,756.35,26.35,2.3400000000000003,6,39.79,32.68,88.55,80.58,Crop Rotation,460.97
2009,Canada,Prairies,Sugarcane,15.87,1617.6,6.29,3.51,2,27.11,41.51,54.67,68.87,Drought-resistant Crops,1452.74
2023,Canada,Ontario,Sugarcane,26.67,886.9,27.58,0.936,3,45.2,34.74,59.51,69.65,Crop Rotation,323.28
2015,Argentina,Patagonia,Sugarcane,34.77,1078.97,13.55,1.36,6,40.39,1.09,31.78,85.83,Drought-resistant Crops,201.54
2021,Nigeria,North West,Sugarcane,14.79,2636.15,29.37,1.629,6,43.99,7.17,37.1,40.31,Drought-resistant Crops,533.33
2007,India,Punjab,Sugarcane,11.75,1386.34,11.98,3.66,1,58.79,47.69,31.49,49.28,No Adaptation,1013.2
2012,Brazil,North,Sugarcane,10.84,386.02,26.76,4.311,8,81.99,27.93,54.83,80.1,No Adaptation,1718.14
2004,USA,Midwest,Sugarcane,4.21,1078.3,0.68,2.79,8,72.64,49.07,17.07,64.25,Drought-resistant Crops,1329.06
2021,China,Central,Sugarcane,6.05,328.25,15.71,2.133,6,98.43,35.69,50.67,33.15,Drought-resistant Crops,786.3
2010,USA,Northeast,Sugarcane,10.76,2063.48,0.67,2.21,6,99.29,46.13,84.24,70.77,Water Management,652.64
2001,Australia,Western Australia,Sugarcane,7.33,2416.32,26.66,2.61,0,64.27,31.11,92.59,85.58,Organic Farming,573.32
2001,India,Punjab,Sugarcane,25.74,633.86,19.42,2.475,0,26.58,30.06,46.6,48.65,No Adaptation,964.81
2021,Canada,British Columbia,Sugarcane,9.86,2645.19,23.89,0.846,9,36.43,36.98,79.48,86.14,Drought-resistant Crops,106.42
1992,France,Grand Est,Sugarcane,26.41,2233.65,19.36,3.042,9,28.9,19.98,2.01,98.14,Drought-resistant Crops,648.94
2014,China,Central,Sugarcane,-4.64,410.23,8.16,1.368,10,58.88,18.74,81.84,64.53,Crop Rotation,444.62
2001,China,East,Sugarcane,23.5,2094.91,1.75,0.84,8,56.83,31.67,38.07,36.78,No Adaptation,357.92
2013,Brazil,Northeast,Sugarcane,32.66,2224.69,18.09,3.564,4,72.75,39.01,38.8,81.9,Water Management,1765.02
1996,Brazil,North,Sugarcane,25.31,1509.68,20.67,3.4290000000000003,10,28.71,25.3,52.48,63.51,Water Management,564.99
2002,Australia,Western Australia,Sugarcane,-1.29,376.61,8.51,1.152,8,78.49,48.77,4.07,88.88,Crop Rotation,564.56
2022,India,Punjab,Sugarcane,6.59,2954.9,6.42,0.54,2,24.25,0.29,24.06,67.58,Crop Rotation,252.03
2021,Argentina,Pampas,Sugarcane,25.76,1561.73,19.51,2.709,1,36.15,11.52,77.24,94.51,Crop Rotation,1171.62
2017,India,Maharashtra,Sugarcane,-2.21,2952.47,19.04,1.2060000000000002,7,24.3,4.24,31.89,49.98,Organic Farming,547.97
2013,Brazil,North,Sugarcane,10.34,774.16,15.15,2.853,1,93.29,25.14,59.67,85.84,Crop Rotation,742.92
2011,France,Provence-Alpes-Cote d’Azur,Sugarcane,0.4,654.12,7.1,1.25,8,62.04,16.62,14.09,81.98,Organic Farming,573.23
2023,Canada,Quebec,Sugarcane,11.62,1215.76,21.27,1.764,5,52.7,43.41,14.92,97.9,Water Management,851.91
2008,Russia,Siberian,Sugarcane,9.04,303.38,5.75,2.547,6,59.96,43.24,88.93,69.43,No Adaptation,257.29
2008,Nigeria,North West,Sugarcane,30.01,1343.19,12.2,2.18,9,75.9,7.03,55.53,96.03,Water Management,774.88
2010,USA,Midwest,Sugarcane,27.68,2657.02,16.98,1.1700000000000002,10,20.76,20.47,6.87,77.7,Drought-resistant Crops,522.99
2022,Brazil,Northeast,Sugarcane,18.5,264.17,6.9,3.51,2,46.85,39.86,62.6,76.02,Drought-resistant Crops,943.2
1991,China,North,Sugarcane,-4.74,815.67,22.9,1.611,1,50.89,13.55,21.91,92.0,Crop Rotation,628.16
2014,Russia,Northwestern,Sugarcane,-0.6,2730.75,5.62,1.61,4,34.14,14.38,25.08,92.52,Crop Rotation,173.06
2009,Argentina,Northwest,Sugarcane,33.64,289.28,7.92,2.313,5,26.84,29.52,92.36,33.83,Water Management,275.48
2004,India,Maharashtra,Sugarcane,30.82,1874.77,28.65,2.799,4,86.38,4.53,69.39,32.6,Drought-resistant Crops,1340.01
2007,Russia,Central,Sugarcane,28.03,1942.72,12.57,3.29,7,10.33,34.94,21.38,47.2,Water Management,774.24
1995,Canada,British Columbia,Sugarcane,20.04,1751.57,26.68,1.287,10,39.12,41.87,58.29,84.53,Water Management,461.07
1999,Nigeria,South West,Sugarcane,20.53,1094.51,11.81,3.57,9,34.79,45.65,13.06,95.35,Organic Farming,768.71
1999,France,Provence-Alpes-Cote d’Azur,Sugarcane,28.89,1708.39,24.22,1.4220000000000002,6,37.93,15.88,49.99,58.87,Organic Farming,362.01
2014,Brazil,Northeast,Sugarcane,24.85,1720.87,4.65,3.0,3,61.99,21.38,83.0,98.27,Water Management,353.74
2002,Brazil,South,Sugarcane,34.75,2919.49,12.99,1.91,8,97.93,7.63,28.92,69.59,Drought-resistant Crops,283.12
2008,Nigeria,South East,Sugarcane,27.81,1509.48,5.84,2.86,3,64.59,34.41,23.68,40.97,Drought-resistant Crops,379.31
2013,Australia,New South Wales,Sugarcane,22.02,811.38,6.7,0.88,10,98.93,21.69,82.0,31.42,Drought-resistant Crops,297.29
2012,China,Central,Sugarcane,30.77,1296.77,25.37,2.277,1,43.18,44.42,88.45,47.39,No Adaptation,354.3
2023,Australia,New South Wales,Sugarcane,18.64,1183.54,26.51,3.186,1,48.74,23.87,34.56,70.86,Water Management,1506.5
1994,Nigeria,North Central,Sugarcane,29.95,1399.07,17.11,2.421,0,21.78,16.22,69.29,65.31,Drought-resistant Crops,1094.3
2016,China,East,Sugarcane,29.21,684.53,3.86,3.64,5,56.99,16.5,77.41,88.77,Water Management,1616.35
2008,Brazil,Northeast,Sugarcane,28.91,865.17,2.75,2.65,2,45.32,26.03,38.99,55.57,Organic Farming,1316.0
2001,Russia,Siberian,Sugarcane,11.45,2711.0,11.94,4.84,7,32.07,1.16,31.33,81.77,No Adaptation,1784.42
2018,Nigeria,South West,Sugarcane,11.41,288.77,23.28,3.879,2,60.85,22.73,43.26,58.39,Crop Rotation,1847.58
2023,China,East,Sugarcane,2.07,2004.83,2.22,1.1,4,75.78,26.93,81.56,33.33,Crop Rotation,376.62
1994,India,Maharashtra,Sugarcane,6.12,1485.54,6.62,2.16,2,61.54,28.97,93.43,53.42,No Adaptation,931.21
2024,France,Ile-de-France,Sugarcane,4.4,2107.57,12.44,1.09,3,81.68,19.04,49.99,90.34,Water Management,203.36
1991,Russia,Volga,Sugarcane,32.51,2048.46,20.83,2.718,9,90.55,2.74,48.08,78.76,Drought-resistant Crops,544.88
2003,Nigeria,South East,Sugarcane,31.87,2161.31,1.01,1.85,3,11.14,19.59,33.18,72.2,Water Management,215.12
1999,USA,Northeast,Sugarcane,15.81,1107.39,11.07,3.91,1,33.71,0.08,79.67,76.48,Water Management,1704.35
2012,Brazil,North,Sugarcane,31.48,2857.58,25.3,3.555,6,29.24,5.82,67.81,95.25,No Adaptation,1256.42
1992,Australia,Victoria,Sugarcane,7.06,2528.36,3.05,2.14,3,78.34,44.39,91.71,91.78,Water Management,532.42
2012,China,Central,Sugarcane,27.53,1572.27,11.23,1.54,6,55.9,1.82,59.15,84.66,Crop Rotation,487.42
2000,India,Punjab,Sugarcane,20.1,1958.95,7.77,2.57,10,68.85,18.28,61.19,50.63,Crop Rotation,1098.65
1995,Australia,Queensland,Sugarcane,25.6,1844.52,15.36,3.366,1,93.36,8.07,32.19,67.27,No Adaptation,1336.42
2017,China,North,Sugarcane,19.86,524.65,27.51,2.673,4,41.97,28.69,13.11,49.78,Water Management,333.79
